Date,Gold_Close,USD_Close,avg_sentiment,news_count,Gold_7day_MA,Gold_30day_MA,USD_7day_MA
2018-11-06,31657.0,96.32,0.026933333,63.0,31720.85714285714,31432.466666666667,96.59142857142857
2018-11-07,31602.0,96.0,0.069383333,48.0,31702.571428571428,31457.933333333334,96.50857142857144
2018-11-08,31408.0,96.72,0.034559551,89.0,31657.285714285714,31484.6,96.46714285714286
2018-11-09,31023.0,96.91,-0.041877193,57.0,31570.428571428572,31506.833333333332,96.4357142857143
2018-11-12,31014.0,97.54,0.060542857,49.0,31460.571428571428,31524.666666666668,96.61571428571428
2018-11-13,30778.0,97.3,-0.097535821,67.0,31323.571428571428,31530.133333333335,96.7242857142857
2018-11-14,30838.0,96.8,-0.079335135,74.0,31188.571428571428,31523.9,96.79857142857144
2018-11-15,30831.0,96.93,-0.095283696,92.0,31070.571428571428,31513.733333333334,96.88571428571427
2018-11-16,31017.0,96.47,0.009096296,54.0,30987.0,31506.533333333333,96.95285714285714
2018-11-19,30888.0,96.19,-0.11789125,80.0,30912.714285714286,31499.6,96.87714285714287
2018-11-20,30830.0,96.84,0.016240541,74.0,30885.14285714286,31488.566666666666,96.86714285714285
2018-11-21,30839.0,96.71,-0.083886207,58.0,30860.14285714286,31474.966666666667,96.74857142857142
2018-11-22,30613.0,96.71,-0.080749231,65.0,30836.571428571428,31435.633333333335,96.66428571428573
2018-11-23,30513.0,96.92,0.002480357,56.0,30790.14285714286,31397.066666666666,96.68142857142857
2018-11-26,30574.0,97.07,-0.0494625,56.0,30753.428571428572,31353.633333333335,96.70142857142858
2018-11-27,30423.0,97.37,0.037790141,71.0,30668.571428571428,31311.033333333333,96.83
2018-11-28,30457.0,96.79,-0.114958333,84.0,30607.0,31269.533333333333,96.91571428571429
2018-11-29,30253.0,96.78,-0.063381579,76.0,30524.571428571428,31215.133333333335,96.90714285714286
2018-11-30,30186.0,97.27,-0.020762963,81.0,30431.285714285714,31163.433333333334,96.98714285714286
2018-12-03,30787.0,97.04,-0.018854667,75.0,30456.14285714286,31132.033333333333,97.03428571428572
2018-12-04,30964.0,96.97,-0.0307375,80.0,30520.571428571428,31101.8,97.04142857142857
2018-12-05,30926.0,97.07,0.006374026,77.0,30570.85714285714,31075.233333333334,97.04142857142858
2018-12-06,31005.0,96.81,-0.12700354,113.0,30654.0,31052.633333333335,96.96142857142857
